text,ner
one o'clock,TIME
3,NUMBER
Lauriston Gardens,LOCATION
Sherlock Holmes,PERSON
he,PERSON
Lestrade,PERSON
He,PERSON
first,ORDINAL
he,PERSON
Holmes,PERSON
he,PERSON
first,ORDINAL
two,NUMBER
Now,DATE
last night,TIME
a week,DURATION
night,TIME
one,NUMBER
three,NUMBER
morning,TIME
Gregson,PERSON
night,TIME
two,NUMBER
nine,NUMBER
ten,NUMBER
his,PERSON
his,PERSON
him,PERSON
his,PERSON
Now,DATE
six,NUMBER
his,PERSON
four,NUMBER
a-half,NUMBER
he,PERSON
he,PERSON
Square-toes,MISC
Trichinopoly,MISC
Gregson,PERSON
Lestrade,PERSON
present,DATE
one,NUMBER
two,NUMBER
two,NUMBER
one,NUMBER
second,ORDINAL
German,MISC
he,PERSON
Lestrade,PERSON
German,MISC
German,MISC
Now,DATE
German,MISC
one,NUMBER
his,PERSON
once,DATE
he,PERSON
his,PERSON
he,PERSON
his,PERSON
her,PERSON
one,NUMBER
he,PERSON
Square-toes,MISC
Square-toes,MISC
he,PERSON
he,PERSON
his,PERSON
He,PERSON
now,DATE
Halle,PERSON
Norman Neruda,PERSON
this afternoon,TIME
Audley Court,PERSON
he,PERSON
Audley Court,PERSON
Number 46,DATE
Rance,PERSON
his,PERSON
He,PERSON
his,PERSON
he,PERSON
Holmes,PERSON
his,PERSON
he,PERSON
his,PERSON
Rance,PERSON
his,PERSON
his,PERSON
he,PERSON
ten at night,TIME
six in the morning,TIME
eleven,NUMBER
White Hart,PERSON
one o'clock,TIME
Harry Murcher,PERSON
Holland Grove,LOCATION
Henrietta Street,LOCATION
him,PERSON
two,NUMBER
Brixton Road,LOCATION
two,NUMBER
past,DATE
four,NUMBER
Now,DATE
two,NUMBER
Lauriston Gardens,LOCATION
one,NUMBER
him,PERSON
Rance,PERSON
Sherlock Holmes,PERSON
his,PERSON
he,PERSON
Ye,PERSON
one,NUMBER
him,PERSON
him,PERSON
Murcher,PERSON
him,PERSON
one,NUMBER
one,NUMBER
John Rance,PERSON
his,PERSON
his,PERSON
he,PERSON
Holmes,PERSON
his,PERSON
he,PERSON
one,NUMBER
Mr. Gregson,PERSON
Mr. Lestrade,PERSON
Rance,PERSON
his,PERSON
his,PERSON
Murcher,PERSON
two,NUMBER
he,PERSON
Columbine,ORGANIZATION
New-fangled Banner,MISC
He,PERSON
his,PERSON
He,PERSON
he,PERSON
Sherlock Holmes,PERSON
John Rance,PERSON
He,PERSON
he,PERSON
He,PERSON
His,PERSON
his,PERSON
Holmes,PERSON
Murcher,PERSON
him,PERSON
Holmes,PERSON
He,PERSON
him,PERSON
him,PERSON
he,PERSON
his,PERSON
he,PERSON
he,PERSON
his,PERSON
He,PERSON
his,PERSON
Rance,PERSON
last night,TIME
now,DATE
Holmes,PERSON
his,PERSON
second,ORDINAL
he,PERSON
he,PERSON
him,PERSON
two,NUMBER
one,NUMBER
him,PERSON
him,PERSON
now,DATE
Norman Neruda,PERSON
Her,PERSON
her,PERSON
Chopin,PERSON
she,PERSON
